Date,Total CPI,Food and non-alcoholic beverages,"Alcoholic beverages, tobacco and narcotics",Clothing and footwear,"Housing, water, electricity, and fuel",Household goods and services,Health,Transportation,Communication,Recreation and culture,Education,Restaurants and hotels,Miscellaneous goods and services,All items (non-food non-energy),Energy,Services,Services less housing,Housing excluding imputed rentals for housing,Actual rentals for housing,Water supply and misc. services relating to dwelling,"Electricity, gas and other fuels",Maintenance and repair of the dwelling
2010-01-01,89.9748842823397,82.96021,64.17831,84.71439000000001,85.73214,88.50813000000001,94.87823,99.07007,105.302,96.48539,91.60896,89.15292,93.24129,90.17956,99.99606999999999,90.666,92.46687,84.16938,84.81021,82.04034,90.50735,82.65888000000001
2010-02-01,90.1562023699609,83.91318000000001,64.17831,84.62941,85.90460999999999,88.7763,94.97273,98.96906,105.302,96.58245,91.70226,89.42188,93.4285,90.36152,99.79159,90.84928000000001,92.65275,84.59444,84.98121,83.18968000000001,90.41599000000001,82.65888000000001
2010-03-01,90.3385746325102,84.51744000000001,64.05003,84.62941,85.99136,88.59716,94.97273,99.77214000000001,104.6745,96.48539,92.72338,88.88395,93.61794,90.36152,100.9109,90.94145999999999,92.74569,84.59444,85.06671,82.69711,90.59785,82.65888000000001
2010-04-01,90.7022649826808,85.8157,64.11417,84.62941,85.99136,88.68726,95.06827,100.5752,104.6745,96.58245,92.90791999999999,89.33185999999999,93.4285,90.4525,101.7253,91.12366,92.93264,84.59444,85.23770999999999,82.28601,90.69006999999999,82.74136
2010-05-01,90.7939782014194,85.38295,64.05003,84.79937,86.16487,89.1335,95.16277,100.7762,104.6745,96.87465,93.00121999999999,89.69196,93.80625,90.63446,101.9289,91.30588,93.11851999999999,84.76469,85.40871,82.28601,90.69006999999999,82.90748
2010-06-01,90.7022649826808,84.25846999999999,64.11417,85.3103,86.16487,89.22253,95.16277,100.4752,104.6745,96.58245,93.00121999999999,89.87201999999999,93.99347,90.72439,101.5217,91.30588,93.11851999999999,84.76469,85.58075,81.54653,90.69006999999999,83.0736
2010-07-01,90.8846372452301,84.69122,63.9859,85.39527,86.25059,88.95436,95.2583,100.9773,104.6745,98.04141,93.00121999999999,90.05096,94.37122,90.90741,101.9289,91.58026,93.39841,84.84926999999999,85.75175,81.46505,90.78143,83.15725
2010-08-01,91.3410949890674,86.85385,64.11417,85.39527,86.50981,89.31156,95.3528,100.7762,104.6745,98.23553000000001,93.09349,90.14098,94.46538000000001,91.08937,101.8267,91.67243,93.5843,85.1041,85.83725,81.95763000000001,91.32874,83.2409
2010-09-01,92.0684756894084,91.26543000000001,64.17831,85.48026,87.11501,89.4907,95.44938,99.97317,104.6745,98.23553000000001,93.09349,90.32104,94.93618000000001,91.17929000000001,102.2339,91.76354,93.5843,85.1041,86.00825,81.71072,93.24731,83.2409
2010-10-01,92.0684756894084,91.43921999999999,64.17831,85.39527,87.20177,89.84682,95.16277,100.1742,104.6745,97.84628000000001,93.18678,90.50109,94.74786,91.17929000000001,102.6411,91.76354,93.5843,85.27435,86.17924000000001,81.71072,93.33781,83.40701999999999
2010-11-01,91.6141262954273,88.49741,64.17831,84.88435,86.94151,89.93585,95.2583,100.4752,104.6745,97.65215,93.27905,90.59,95.03034,91.17929000000001,102.0303,91.94682,93.67724,85.52808,86.43678,81.87615,91.69418,83.57314000000001
2010-12-01,91.9778166455978,88.49741,64.11417,86.41818,87.28748,90.29305,95.2583,102.2824,104.0451,97.55408,93.27905,90.68003,95.21866999999999,91.45224,103.9631,92.03685,93.77125,85.86858000000001,86.69328,82.6144,92.06047,83.65561
2011-01-01,93.0709960459656,91.43921999999999,64.11417,86.50316,88.15191999999999,90.73928000000001,96.11502,104.4906,104.0451,98.23553000000001,93.74348,91.13016999999999,95.68947,91.90609,107.3203,92.49450999999999,94.23702,86.20798,86.95083000000001,83.59955,94.34277,84.07033
2011-02-01,93.707717702496,93.25542,64.05003,86.58814,88.67036,91.54271999999999,96.49509,105.0927,104.0451,98.23553000000001,93.92905,92.56837,96.06611,92.26895999999999,108.2351,92.95111,94.70387,86.88788000000001,87.20732,85.73528,94.52635,84.32127
2011-03-01,94.0724622275946,92.99531,64.05003,86.67312,89.01634,91.98787,96.30505,107.0999,103.9413,98.72185999999999,94.20791,92.83733000000001,97.10188000000001,92.5419,110.6774,93.31766999999999,95.0767,87.22728000000001,87.72136,85.16122,94.89094,84.90211
2011-04-01,94.1641754463333,92.21726,63.9859,86.7581,89.27557,91.72078,96.49509,107.4009,103.9413,98.72185999999999,94.39347,93.37749000000001,96.8194,92.72281,110.9824,93.59099,95.26258,87.48210999999999,88.15095,84.4205,95.16502,86.14743
2011-05-01,94.3454935339546,91.26543000000001,64.88377,87.77995,89.96648,92.34506999999999,96.49509,107.0999,103.9413,99.20818,94.39347,93.73649,97.47851999999999,93.08673,111.3887,93.77427,95.44846,87.8226,88.57845,83.84645,96.99136999999999,87.06168000000001
2011-06-01,94.5278657965038,91.95829,64.81963,87.86494,90.22675,92.70227,96.8762,106.5978,103.9413,98.91598,94.48574,93.91654,97.47851999999999,93.26764,110.8801,93.95755,95.63541,88.07741999999999,89.00698,83.68226,97.17409,87.8923
2011-07-01,94.983269365413,93.68817,64.81963,88.29089,90.39819,92.70227,96.9707,107.90299999999999,103.9413,99.4023,94.48574,94.18551,97.47851999999999,93.4496,111.8981,94.23193,95.91424,88.24658000000001,89.26348,83.68226,97.08359,88.22453
2011-08-01,95.6210451968716,96.54252,64.9479,88.37586,90.83091,92.7913,97.16176999999999,108.405,103.9413,99.20818,94.57904,94.54562,97.57269000000001,93.63156,112.81299999999999,94.41414,96.00825,88.67165,89.60651999999999,84.17484,97.81276,88.30818000000001
2011-09-01,95.5293319781329,96.28242,64.9479,88.37586,91.09014,93.32656,97.2573,108.204,101.9521,98.81891999999999,94.57904,94.63564000000001,97.66685,93.54058,112.9152,94.23193,95.72836,88.92648,89.94955999999999,84.09335,98.08684000000001,88.64043000000001
2011-10-01,95.3480138905116,94.03345999999999,64.9479,87.94991,91.86884,93.32656,97.2573,108.9061,101.6388,98.72185999999999,94.67233,94.72567,97.57269000000001,93.54058,114.8481,94.32197,95.8213,89.26588000000001,90.3781,84.09335,100.0968,88.80655
2011-11-01,95.4386729343223,93.77449,64.9479,90.24857,92.12807,93.4156,97.2573,108.7061,100.6961,98.62378000000001,94.76358,94.45559,97.76212,93.72149,114.7458,94.41414,95.72836,89.68987,90.8056,84.4205,100.0968,89.05514000000001
2011-12-01,95.8023632844928,95.15907,64.88377,90.24857,92.47404,93.86182,97.3518,108.7061,100.3828,98.72185999999999,94.85687,94.63564000000001,98.13765,93.90345,114.1359,94.59635,95.91424,90.03036,91.06314,85.40689,100.2795,89.22126
2012-01-01,96.1850287833679,96.87191,64.9541,90.215,92.84481,94.57515,98.45567,109.1471,100.3828,99.04337,95.11728000000001,94.90460999999999,95.91545,94.12138,114.4204,94.77963000000001,95.98902,90.49773,91.3457,86.54759,100.3341,89.63715
2012-02-01,96.5497733084665,96.53343000000001,65.4351,90.99765,93.55329,95.27131999999999,98.789,110.2922,100.3828,98.80881,95.40536999999999,94.97575,96.38736999999999,94.48531,115.8652,95.05294,96.1108,91.23618,91.59385999999999,89.86599,100.5724,89.81976999999999
2012-03-01,96.5771818565953,97.48526,65.3389,91.02387,93.86415,95.4762,98.86480999999999,111.9584,100.3828,98.44887,94.79228,94.33778000000001,93.03413,94.2039,117.2788,94.6703,95.53179,91.61787,92.00571,89.89931999999999,100.8089,90.2769
2012-04-01,96.567694282243,97.11385,65.42165,90.64828,93.95917,94.96775,97.50446,112.5404,100.3828,99.11111,95.26594,94.43781,93.43848,94.17639,118.0007,94.85252,95.74758,91.6786,92.3644,89.0117,100.8729,90.58322
2012-05-01,96.7405789704401,96.94915,65.23029,92.1475,94.06348,95.4762,97.67475999999999,112.3094,100.3828,99.2476,95.54378,94.60786,93.49497,94.4578,117.726,94.98006,95.88753,91.79679,92.648,88.44505,100.919,91.26538000000001
