Date,Actual CPI,Predicted CPI,Abs Error,PE(%)
2005-11-07,78.65,78.57,0.08,0.10
2005-11-08,78.66,78.58,0.07,0.09
2005-11-09,78.66,78.62,0.04,0.05
2005-11-10,78.67,78.65,0.02,0.03
2005-11-11,78.68,78.66,0.02,0.03
2005-11-12,78.69,78.65,0.03,0.04
2005-11-13,78.69,78.66,0.03,0.04
2005-11-14,78.70,78.67,0.03,0.04
2005-11-15,78.71,78.67,0.04,0.05
2005-11-16,78.72,78.69,0.03,0.04
2005-11-17,78.73,78.69,0.03,0.04
2005-11-18,78.73,78.70,0.03,0.04
2005-11-19,78.74,78.71,0.03,0.04
2005-11-20,78.75,78.72,0.03,0.04
2005-11-21,78.76,78.72,0.03,0.04
2005-11-22,78.77,78.73,0.04,0.05
2005-11-23,78.77,78.74,0.04,0.05
2005-11-24,78.78,78.74,0.04,0.05
2005-11-25,78.79,78.75,0.04,0.05
2005-11-26,78.80,78.75,0.04,0.05
2005-11-27,78.80,78.76,0.04,0.05
2005-11-28,78.81,78.77,0.04,0.05
2005-11-29,78.82,78.78,0.04,0.05
2005-11-30,78.83,78.79,0.04,0.05
2005-12-01,78.84,78.80,0.04,0.05
2005-12-02,78.85,78.81,0.05,0.06
2005-12-03,78.87,78.81,0.05,0.07
2005-12-04,78.88,78.82,0.06,0.07
2005-12-05,78.90,78.83,0.07,0.09
2005-12-06,78.91,78.83,0.08,0.10
2005-12-07,78.93,78.84,0.08,0.11
2005-12-08,78.94,78.85,0.09,0.12
2005-12-09,78.96,78.86,0.10,0.13
2005-12-10,78.97,78.86,0.11,0.14
2005-12-11,78.99,78.87,0.12,0.15
2005-12-12,79.00,78.88,0.13,0.16
2005-12-13,79.02,78.89,0.13,0.17
2005-12-14,79.03,78.89,0.14,0.18
2005-12-15,79.05,78.90,0.15,0.19
2005-12-16,79.06,78.91,0.16,0.20
2005-12-17,79.08,78.92,0.16,0.21
2005-12-18,79.09,78.92,0.17,0.22
2005-12-19,79.11,78.93,0.18,0.23
2005-12-20,79.12,78.94,0.19,0.23
2005-12-21,79.14,78.95,0.19,0.24
2005-12-22,79.15,78.95,0.20,0.25
2005-12-23,79.17,78.96,0.21,0.27
2005-12-24,79.19,78.96,0.22,0.28
2005-12-25,79.20,78.97,0.23,0.29
2005-12-26,79.22,78.98,0.24,0.30
2005-12-27,79.23,78.98,0.25,0.31
2005-12-28,79.25,78.99,0.25,0.32
2005-12-29,79.26,79.00,0.26,0.33
2005-12-30,79.28,79.01,0.27,0.34
2005-12-31,79.29,79.01,0.28,0.35
2006-01-01,79.31,79.02,0.29,0.37
2006-01-02,79.31,79.02,0.29,0.36
2006-01-03,79.32,79.03,0.29,0.36
2006-01-04,79.32,79.04,0.28,0.36
2006-01-05,79.33,79.05,0.28,0.35
2006-01-06,79.33,79.05,0.28,0.35
2006-01-07,79.34,79.06,0.28,0.35
2006-01-08,79.34,79.07,0.28,0.35
2006-01-09,79.35,79.07,0.27,0.35
2006-01-10,79.35,79.08,0.27,0.34
2006-01-11,79.36,79.08,0.27,0.34
