Date,Actual CPI,Predicted CPI,Abs Error,PE(%)
2005-11-07,78.65,77.94,0.71,0.90
2005-11-08,78.66,78.02,0.63,0.80
2005-11-09,78.66,78.02,0.65,0.82
2005-11-10,78.67,78.02,0.65,0.83
2005-11-11,78.68,78.05,0.63,0.80
2005-11-12,78.69,78.06,0.63,0.80
2005-11-13,78.69,78.06,0.64,0.81
2005-11-14,78.70,78.06,0.64,0.81
2005-11-15,78.71,78.09,0.62,0.79
2005-11-16,78.72,78.10,0.62,0.78
2005-11-17,78.73,78.11,0.62,0.78
2005-11-18,78.73,78.12,0.61,0.78
2005-11-19,78.74,78.13,0.61,0.78
2005-11-20,78.75,78.14,0.61,0.78
2005-11-21,78.76,78.15,0.61,0.77
2005-11-22,78.77,78.16,0.61,0.77
2005-11-23,78.77,78.16,0.61,0.78
2005-11-24,78.78,78.18,0.60,0.77
2005-11-25,78.79,78.19,0.60,0.76
2005-11-26,78.80,78.21,0.59,0.75
2005-11-27,78.80,78.22,0.59,0.74
2005-11-28,78.81,78.23,0.58,0.74
2005-11-29,78.82,78.24,0.58,0.74
2005-11-30,78.83,78.25,0.58,0.73
2005-12-01,78.84,78.26,0.57,0.73
2005-12-02,78.85,78.28,0.58,0.73
2005-12-03,78.87,78.29,0.58,0.73
2005-12-04,78.88,78.31,0.57,0.72
2005-12-05,78.90,78.32,0.57,0.73
2005-12-06,78.91,78.33,0.58,0.74
2005-12-07,78.93,78.34,0.59,0.74
2005-12-08,78.94,78.35,0.59,0.75
2005-12-09,78.96,78.36,0.60,0.75
2005-12-10,78.97,78.37,0.60,0.76
2005-12-11,78.99,78.38,0.60,0.77
2005-12-12,79.00,78.40,0.61,0.77
2005-12-13,79.02,78.41,0.61,0.77
2005-12-14,79.03,78.42,0.62,0.78
2005-12-15,79.05,78.43,0.62,0.79
2005-12-16,79.06,78.44,0.62,0.79
2005-12-17,79.08,78.45,0.63,0.79
2005-12-18,79.09,78.46,0.63,0.80
