DATE,Total CPI
2005-01-01,77.58094965
2005-02-01,77.89509378
2005-03-01,78.3652558
2005-04-01,78.44431892
2005-05-01,78.3652558
2005-06-01,78.12912062
2005-07-01,78.44431892
2005-08-01,78.67939993
2005-09-01,79.071553
2005-10-01,78.91448094
2005-11-01,78.60033681
2005-12-01,78.83647199
2006-01-01,79.30663401
2006-02-01,79.46476025
2006-03-01,79.93492227
2006-04-01,80.01398539
2006-05-01,80.17000328
2006-06-01,80.01398539
2006-07-01,80.32707534
2006-08-01,80.79723736
2006-09-01,81.03231837
2006-10-01,80.64016529
2006-11-01,80.2490664
2006-12-01,80.48414741
2007-01-01,80.64016529
2007-02-01,81.18939043
2007-03-01,81.66060662
2007-04-01,81.97369658
2007-05-01,82.0527597
2007-06-01,82.0527597
2007-07-01,82.36690383
2007-08-01,82.44491277
2007-09-01,82.91612896
2007-10-01,83.07214685
2007-11-01,83.07214685
2007-12-01,83.38629098
2008-01-01,83.77738988
2008-02-01,84.09258818
2008-03-01,84.87689433
2008-04-01,85.34811052
2008-05-01,86.05229938
2008-06-01,86.60152451
2008-07-01,87.22981277
2008-08-01,87.07274071
2008-09-01,87.15180383
2008-10-01,87.07274071
2008-11-01,86.8376597
2008-12-01,86.8376597
2009-01-01,86.91672282
2009-02-01,87.5439569
2009-03-01,88.17119098
2009-04-01,88.40521781
2009-05-01,88.40521781
2009-06-01,88.32720887
2009-07-01,88.641353
2009-08-01,88.95549713
2009-09-01,89.03456025
2009-10-01,88.79842506
2009-11-01,88.95549713
2009-12-01,89.26964126
2010-01-01,89.97488428
2010-02-01,90.15620237
2010-03-01,90.33857463
2010-04-01,90.70226498
2010-05-01,90.7939782
2010-06-01,90.70226498
2010-07-01,90.88463725
2010-08-01,91.34109499
2010-09-01,92.06847569
2010-10-01,92.06847569
2010-11-01,91.6141263
2010-12-01,91.97781665
2011-01-01,93.07099605
2011-02-01,93.7077177
2011-03-01,94.07246223
2011-04-01,94.16417545
2011-05-01,94.34549353
2011-06-01,94.5278658
2011-07-01,94.98326937
2011-08-01,95.6210452
2011-09-01,95.52933198
2011-10-01,95.34801389
2011-11-01,95.43867293
2011-12-01,95.80236328
2012-01-01,96.18502878
2012-02-01,96.54977331
2012-03-01,96.57718186
2012-04-01,96.56769428
2012-05-01,96.74057897
2012-06-01,96.60353623
2012-07-01,96.38532202
2012-08-01,96.83123801
2012-09-01,97.52383094
2012-10-01,97.34145868
2012-11-01,96.9956893
2012-12-01,97.16857399
2013-01-01,97.75153273
2013-02-01,98.07832695
2013-03-01,97.98766791
2013-04-01,97.85167934
2013-05-01,97.85167934
2013-06-01,97.73255758
2013-07-01,97.94233839
2013-08-01,98.28916194
2013-09-01,98.4799676
2013-10-01,98.17952775
2013-11-01,98.1605526
2013-12-01,98.27967437
2014-01-01,98.807816
2014-02-01,99.07135974
2014-03-01,99.253732
2014-04-01,99.31803667
2014-05-01,99.48143378
2014-06-01,99.35387862
2014-07-01,99.49935476
2014-08-01,99.67329362
2014-09-01,99.60898895
2014-10-01,99.3085491
2014-11-01,99.10825586
2014-12-01,99.09876828
2015-01-01,99.77027771
2015-02-01,99.71124392
2015-03-01,99.72073149
2015-04-01,99.75130256
2015-05-01,100.0306589
2015-06-01,100.0506882
2015-07-01,100.2309522
2015-08-01,100.3711574
2015-09-01,100.1107762
2015-10-01,100.1107762
2015-11-01,99.92102473
2015-12-01,100.2204104
2016-01-01,100.3911867
2016-02-01,100.8212901
2016-03-01,100.5609089
2016-04-01,100.7506604
2016-05-01,100.8107484
2016-06-01,100.790719
2016-07-01,100.6009676
2016-08-01,100.8602946
2016-09-01,101.4611743
2016-10-01,101.6003254
2016-11-01,101.4506325
2016-12-01,101.5613209
2017-01-01,102.640796
2017-02-01,102.9212066
2017-03-01,102.8505769
2017-04-01,102.7209133
2017-05-01,102.8305475
2017-06-01,102.6112791
2017-07-01,102.7810013
2017-08-01,103.3702851
2017-09-01,103.490461
2017-10-01,103.3903144
2017-11-01,102.6207667
2017-12-01,102.9907821
2018-01-01,103.4208855
2018-02-01,104.2104625
2018-03-01,104.1008283
2018-04-01,104.2905798
2018-05-01,104.3411802
2018-06-01,104.1303452
2018-07-01,103.9311062
2018-08-01,104.8503467
2018-09-01,105.6504655
2018-10-01,105.460714
2018-11-01,104.7111956
2018-12-01,104.3506678
2019-01-01,104.2410336
2019-02-01,104.6911663
2019-03-01,104.490873
2019-04-01,104.870376
2019-05-01,105.0506399
2019-06-01,104.8809178
2019-07-01,104.5604486
2019-08-01,104.8113422
2019-09-01,105.2003328
2019-10-01,105.460714
2019-11-01,104.870376
2019-12-01,105.1212696
2020-01-01,105.5123685
2020-02-01,105.5861608
2020-03-01,105.3542423
2020-04-01,104.8904053
2020-05-01,104.8271548
2020-06-01,105.1117821
2020-07-01,105.0274481
2020-08-01,105.617786
2020-09-01,106.1975822
2020-10-01,105.6072443
2020-11-01,105.5123685
2020-12-01,105.7653705
2021-01-01,106.5138347
2021-02-01,107.0830892
2021-03-01,107.3571747
2021-04-01,107.5047592
2021-05-01,107.5785514
2021-06-01,107.5785514
2021-07-01,107.7999281
2021-08-01,108.3164739
2021-09-01,108.7592273
2021-10-01,108.9489788
2021-11-01,109.4971498
2021-12-01,109.6763595
2022-01-01,110.3615732
2022-02-01,111.0046199
2022-03-01,111.8057929
2022-04-01,112.6385911
2022-05-01,113.3870553
2022-06-01,114.0828107
2022-07-01,114.6309817
2022-08-01,114.5044807
2022-09-01,114.8312749
2022-10-01,115.1264439
2022-11-01,115.0104846
2022-12-01,115.2002361
2023-01-01,116.0646596
2023-02-01,116.3598286
2023-03-01,116.54958
2023-04-01,116.802582
2023-05-01,117.1504598
2023-06-01,117.139918
2023-07-01,117.224252
2023-08-01,118.4154697
2023-09-01,119.1112251
2023-10-01,119.5118116
2023-11-01,118.8476814
2023-12-01,116.6962846
2024-01-01,117.1136727
2024-02-01,117.6923243
2024-03-01,117.8535878
2024-04-01,117.9105044
2024-05-01,117.9958792
2024-06-01,117.7492408
2024-07-01,118.0243375
2024-08-01,118.4132672
2024-09-01,118.5176142
2024-10-01,118.5555586
2024-11-01,118.2804619
2024-12-01,118.7642526
2025-01-01,119.52314
2025-02-01,119.8741253
2025-03-01,120.0733333
2025-04-01,120.1587081
