news_count,avg_sentiment,positive_ratio,negative_ratio,date,N_pos,N_neg,sentiment_score
254,1,0.728346457,0.271653543,2005-01-01 0:00,185,69,0.456692913
291,1,0.75257732,0.24742268,2005-02-01 0:00,219,72,0.505154639
412,1,0.70631068,0.29368932,2005-03-01 0:00,291,121,0.412621359
312,1,0.608974359,0.391025641,2005-04-01 0:00,190,122,0.217948718
313,1,0.731629393,0.268370607,2005-05-01 0:00,229,84,0.463258786
311,1,0.649517685,0.350482315,2005-06-01 0:00,202,109,0.29903537
326,1,0.726993865,0.273006135,2005-07-01 0:00,237,89,0.45398773
477,1,0.765199161,0.234800839,2005-08-01 0:00,365,112,0.530398323
424,1,0.775943396,0.224056604,2005-09-01 0:00,329,95,0.551886792
598,1,0.780936455,0.219063545,2005-10-01 0:00,467,131,0.56187291
500,1,0.762,0.238,2005-11-01 0:00,381,119,0.524
564,1,0.709219858,0.290780142,2005-12-01 0:00,400,164,0.418439716
434,1,0.739631336,0.260368664,2006-01-01 0:00,321,113,0.479262673
541,1,0.717190388,0.282809612,2006-02-01 0:00,388,153,0.434380776
786,1,0.670483461,0.329516539,2006-03-01 0:00,527,259,0.340966921
586,1,0.716723549,0.283276451,2006-04-01 0:00,420,166,0.433447099
780,1,0.555128205,0.444871795,2006-05-01 0:00,433,347,0.11025641
1080,1,0.575,0.425,2006-06-01 0:00,621,459,0.15
889,1,0.643419573,0.356580427,2006-07-01 0:00,572,317,0.286839145
920,1,0.613043478,0.386956522,2006-08-01 0:00,564,356,0.226086957
592,1,0.58277027,0.41722973,2006-09-01 0:00,345,247,0.165540541
564,1,0.617021277,0.382978723,2006-10-01 0:00,348,216,0.234042553
540,1,0.653703704,0.346296296,2006-11-01 0:00,353,187,0.307407407
737,1,0.686567164,0.313432836,2006-12-01 0:00,506,231,0.373134328
195,1,0.738461538,0.261538462,2007-01-01 0:00,144,51,0.476923077
176,1,0.721590909,0.278409091,2007-02-01 0:00,127,49,0.443181818
165,1,0.606060606,0.393939394,2007-03-01 0:00,100,65,0.212121212
214,1,0.663551402,0.336448598,2007-04-01 0:00,142,72,0.327102804
167,1,0.670658683,0.329341317,2007-05-01 0:00,112,55,0.341317365
488,1,0.786885246,0.213114754,2007-06-01 0:00,384,104,0.573770492
641,1,0.784711388,0.215288612,2007-07-01 0:00,503,138,0.569422777
873,1,0.698739977,0.301260023,2007-08-01 0:00,610,263,0.397479954
931,1,0.61546724,0.38453276,2007-09-01 0:00,573,358,0.230934479
798,1,0.606516291,0.393483709,2007-10-01 0:00,484,314,0.213032581
851,1,0.694477086,0.305522914,2007-11-01 0:00,591,260,0.388954172
1102,1,0.663339383,0.336660617,2007-12-01 0:00,731,371,0.326678766
1336,1,0.45508982,0.54491018,2008-01-01 0:00,608,728,-0.089820359
863,1,0.545770568,0.454229432,2008-02-01 0:00,471,392,0.091541136
1253,1,0.579409417,0.420590583,2008-03-01 0:00,726,527,0.158818835
1044,1,0.614942529,0.385057471,2008-04-01 0:00,642,402,0.229885057
1079,1,0.683966636,0.316033364,2008-05-01 0:00,738,341,0.367933272
1232,1,0.672077922,0.327922078,2008-06-01 0:00,828,404,0.344155844
1113,1,0.672955975,0.327044025,2008-07-01 0:00,749,364,0.34591195
1178,1,0.558573854,0.441426146,2008-08-01 0:00,658,520,0.117147708
915,1,0.48852459,0.51147541,2008-09-01 0:00,447,468,-0.02295082
992,1,0.44858871,0.55141129,2008-10-01 0:00,445,547,-0.102822581
1122,1,0.403743316,0.596256684,2008-11-01 0:00,453,669,-0.192513369
1101,1,0.359673025,0.640326975,2008-12-01 0:00,396,705,-0.280653951
81,1,0.592592593,0.407407407,2009-01-01 0:00,48,33,0.185185185
91,1,0.516483516,0.483516484,2009-02-01 0:00,47,44,0.032967033
942,1,0.535031847,0.464968153,2009-03-01 0:00,504,438,0.070063694
781,1,0.631241997,0.368758003,2009-04-01 0:00,493,288,0.262483995
597,1,0.62479062,0.37520938,2009-05-01 0:00,373,224,0.24958124
912,1,0.777412281,0.222587719,2009-06-01 0:00,709,203,0.554824561
